"Category","Requirement","Acceptance Criteria","Priority","Vendor Response","Vendor Comments"
"Scope & Solution Fit","The vendor must deliver a modern cloud-native IGA platform that automates identity lifecycle management and strengthens access governance across the enterprise.","Demonstrate a SaaS IGA solution with automated provisioning and deprovisioning, access risk controls, and measurable compliance outcomes. Provide customer references and documented architecture.","Critical","",""
"Scope & Solution Fit","The IGA solution must support identity lifecycle management for all identity types including employees, contractors, third-party users, non-human identities (NHI), and AI agents.","Provide end-to-end Joiner-Mover-Leaver automation for all identity types. Include production examples of NHI and AI agent identity management.","Critical","",""
"Scope & Solution Fit","The platform must scale to support a minimum of 150,000 identities across multiple legal entities without performance degradation.","Provide performance benchmarks and case studies at scale. Include SLA commitments for provisioning and deprovisioning response times.","Critical","",""
"Scope & Solution Fit","The vendor must support data residency requirements for Canadian-based identity data in compliance with PIPEDA and applicable provincial privacy legislation.","Confirm availability of a Canadian data residency option. Provide documentation of data handling, storage locations, and applicable compliance certifications.","Critical","",""
"Identity Lifecycle","The solution must automate the full Joiner-Mover-Leaver process driven by authoritative HR system data with no manual intervention required for standard lifecycle events.","Demonstrate automated provisioning from HR system trigger to application access grant within a defined SLA. Show sample workflows for new hire, role change, and termination scenarios.","Critical","",""
"Identity Lifecycle","The IGA platform must support multiple authoritative HR sources simultaneously including Workday and SAP SuccessFactors.","Provide a list of certified HR system integrations. Demonstrate simultaneous ingestion from two or more HR sources with conflict resolution logic.","High","",""
"Identity Lifecycle","The solution must manage unique identity identifiers across source systems and integrated applications and support generation of enterprise-wide unique IDs.","Describe the identity correlation and matching engine. Explain how unique identifiers are generated, managed, and reconciled across disparate systems.","High","",""
"Identity Lifecycle","The platform must support provisioning to both connected applications via SCIM/API and disconnected applications via flat file or manual task fulfilment.","Show workflow examples for both connected and disconnected application types. Describe the manual task fulfilment process and SLA.","High","",""
"Access Governance","The solution must provide automated access certification campaigns with configurable scope, frequency, and reviewer assignment including manager, application owner, and peer review.","Demonstrate a certification campaign configuration. Show AI-assisted reviewer recommendations and how they improve decision accuracy.","Critical","",""
"Access Governance","The IGA platform must support risk-based access reviews where high-risk entitlements are prioritized with contextual risk scoring for reviewers.","Show how risk scores are calculated and surfaced during reviews. Include indicators such as privileged access, SoD conflicts, and dormant accounts.","High","",""
"Access Governance","The solution must provide self-service access request capabilities with multi-level approval workflows and integration with ServiceNow for ticket creation and fulfilment.","Demonstrate the access request portal and a sample approval workflow with ServiceNow integration including bi-directional status sync.","High","",""
"Access Governance","The platform must support both role-based (RBAC) and policy-based (PBAC) access control models with the ability to manage and enforce both independently or in combination.","Provide documentation on RBAC and PBAC model support. Show examples where both are applied simultaneously to a single user population.","High","",""
